tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Binance.com,1zrhn2Ekb1zMK6x8TAHxwfpX9E5uKSu4TaxZqEbt2gBKF9q,Exchange,Mandatory KYC and AML
Bitkub.com,1zrfaSh33HrL2L4MCqE2eYNnbMK8JBkvJjSpC6qX4QH5atf,Exchange,Mandatory KYC and AML
WhiteBIT,1zrfRYFGcvYUvnSboTU87jbEJUyirULAYwDBGMn1FgJjgva,Exchange,Mandatory KYC and AML
Nexo.io,1zrfGJnywcDbCACiv738FJPo5QqeyDJyVspEbNsDxcLbYnX,Exchange,Mandatory KYC and AML
Bitkub.com,1zrejddTBwyWbbgPj3QHHyoYLYhVRgcXTGTjVcRRhDWUfyu,Exchange,Mandatory KYC and AML
Bybit.com,1zrdoozgNDJBSDosnafU7F7n9kmLR9tFEVjEbPYXyRZwNrH,Exchange,Mandatory KYC and AML
AAX,1zrbMW21WowbRFhrwkLsiHzEdxHbLfVdrEbBXSvjF4zbBe6,Exchange,Inactive
Kucoin.com,1zraDWj2zf794PPpEJagoTA4V1JxJDhiH1sZCij1WPJGq2f,Exchange,Mandatory KYC and AML
Bybit.com,1zrZAfPs2FvTkKx242ex2TbwgM4nvnEWNJL6ywQXpJ1u3sL,Exchange,Mandatory KYC and AML
Gate.io,1zrZ1YbBpcFpbFqc5NCtkr4EwUnXHUujfHH6W41N2WKvRyY,Exchange,Mandatory KYC and AML
MEXC Global,1zrYn9rjHy4miPJjssxcgm4JyTR11aUtgWNHPu7XbSDSxyp,Exchange,Optional KYC and AML
CEX.IO,1zrXsu8WL9nnuLznfvM3ZUH7eYuBk5UDCsTyuuNp99TuxM2,Exchange,Mandatory KYC and AML
Okx.com,1zrWwwyuHubBxzEzpju4UfgFYGRSHu38ZuLjDV9XPvskSN7,Exchange,Mandatory KYC and AML
Nexo.io,1zrWkXeGZ8Gd84YoDSV59Hm8gzqFSCRpTLPwr6Komqhwsjv,Exchange,Mandatory KYC and AML
Kraken.com,1zrW7tgMKkkQECuFHywp4fs8wsxYvzPZwDe6ojH8KZwagMv,Exchange,Mandatory KYC and AML
CEX.IO,1zrVPLWrVDm3o73CNv3rqATzWk97sC7EyDYCnNm6eiwxbVV,Exchange,Mandatory KYC and AML
HitBTC,1zrTeqN3pAQmUcTx2woqUpy1eh5Ks1U3HuhMypjDAE1vxwP,Exchange,Optional KYC and AML
